MR32 ASCII
Name	TYR30_slow
Frequency	1500
Date	26-08-2015 09:35:05
"Time,s"	"RT MED. GASTRO,uV"	"RT LAT. GASTRO,uV"	"RT BICEPS FEM.,uV"	"RT VMO,uV"	"RT VLO,uV"	"RT RECTUS FEM.,uV"	"RT SOLEUS,uV"	"RT SEMITEND.,uV"	"Channel 12,uV"
0.1440	39.2791	38.2943	10.8508	-5.4882	-80.3805	-14.1738	89.4293	11.7396	0
0.1447	-0.376367	39.8351	11.7638	2.75353	-64.5138	-13.5662	33.2698	7.77412	0.621168
0.1453	-88.5832	5.03957	4.14367	10.3729	-51.995	-12.9586	-63.471	5.3321	0.621168
0.1460	-116.982	-55.4032	-5.61853	12.504	-43.7602	-10.5157	-130.606	-7.48287	0.310584
0.1467	-74.5549	-89.5888	-0.42139	9.44875	-39.1748	-0.446419	-129.682	-27.3102	0.310584
0.1473	-45.8484	-78.8998	1.08859	3.96055	-39.1748	11.1481	-64.6922	-22.4262	0.621168
0.1480	-6.80883	-60.2822	-7.7606	0.301757	-37.953	16.6415	45.1844	6.85556	0.621168
0.1487	56.0787	-47.4747	-8.67361	-0.924129	-33.3834	15.4263	145.589	10.821	0.310584
0.1493	62.477	-21.2176	2.0016	0.603513	-23.9269	10.8505	135.506	-24.2633	0.621168
0.1500	23.0953	8.69888	9.62174	4.58293	-6.5212	5.35703	38.7652	-75.2319	0.621168
0.1507	15.7732	22.7262	9.34081	7.61935	5.68026	0.781234	-35.3835	-118.875	0.310584
0.1513	30.4173	29.146	20.929	5.4882	3.2368	-4.10458	-69.8745	-101.78	0.621168
0.1520	34.0783	34.314	55.4128	2.13116	-1.3328	-6.8575	-50.0378	-62.7082	0.621168
0.1527	27.3722	28.5362	89.2996	4.26231	0.1904	-6.54748	8.86152	-53.5675	0.621168
0.1533	19.1263	12.6471	97.2358	8.84524	-0.729866	-4.10458	21.9816	-2.91249	0.310584
0.1540	30.1094	4.71858	87.4735	12.2023	-4.07773	1.07885	-11.5857	51.4167	0.310584
0.1547	49.6463	8.69888	81.0474	17.6905	-3.17333	6.57228	-25.6295	34.0314	0.621168
0.1553	6.02188	7.47911	83.5055	22.8769	-0.4284	6.27467	-11.2726	-3.20374	0.621168
0.1560	-77.908	-0.160496	69.7401	22.2734	0.1904	0.161207	-9.44081	5.3321	0.310584
0.1567	-62.0322	-0.160496	39.2244	19.5199	-0.729866	-0.136406	-22.2634	52.0216	0.310584
0.1573	20.0501	11.1384	34.3433	21.0475	-0.111067	4.12938	-23.4846	52.3353	0.621168
0.1580	64.9062	17.2373	49.0217	25.3287	-0.729866	-0.744032	-20.4316	-20.9027	0.621168
0.1587	104.904	12.6471	-2.8795	27.7616	-1.9516	-8.68037	-17.6917	-62.417	0.310584
0.1593	72.5362	9.30876	-143.87	27.1581	-0.111067	-5.93986	-7.01406	-36.1597	0.310584
0.1600	-15.0547	5.93835	-196.368	21.9716	-0.111067	-1.66167	4.58732	-19.3793	0.621168
0.1607	7.83528	-4.14079	-91.6875	14.6541	-2.856	-5.33223	8.86152	-25.4955	0.621168
0.1613	54.2311	-14.1878	2.63369	14.6541	-1.9516	-6.54748	-1.20554	-25.7868	0.621168
0.1620	38.3552	-14.7977	37.3984	18.3128	-1.9516	-5.62984	-19.5235	-8.08777	0.621168
0.1627	-18.0998	-7.19021	54.1837	21.0475	-3.77626	-8.68037	-16.4705	43.4858	0.310584
0.1633	-78.5239	2.60003	75.2532	22.8769	-1.9516	-6.8575	15.8756	70.9528	0.310584
0.1640	-58.987	4.71858	110.65	19.5199	-1.03133	-1.05405	47.0162	23.3448	0.621168
